Gender,Generation,Term Sub Reason,Employee Grade,Location,Career Bucket,Age Bucket,Manager ID,Talent,Department,active_months,,,,,,
1,2,4,1,1,1,2,101413,5,14,73,,,,,,
0,3,1,2,1,3,4,101164,5,41,133,,,,,,
0,3,15,2,1,3,4,101591,5,15,33,,,,,,
0,2,1,1,1,2,3,101186,5,21,85,,,,,,
0,2,1,1,1,1,2,100186,5,2,28,,,,,,
0,2,1,2,1,2,3,100190,5,2,73,,,,,,
0,2,11,2,1,2,3,100362,5,3,52,,,,,,
1,2,1,2,3,2,3,102402,5,31,64,,,,,,
0,2,4,1,1,1,2,100794,5,7,19,,,,,,
1,2,4,1,1,1,2,100605,5,7,34,,,,,,
1,2,7,1,1,1,2,101458,5,43,25,,,,,,
1,2,13,1,1,1,2,101586,5,15,9,,,,,,
0,2,1,1,1,2,3,102428,5,15,24,,,,,,
0,2,1,1,1,2,3,101465,5,21,29,,,,,,
0,3,1,2,1,3,4,101465,5,21,108,,,,,,
0,3,13,2,1,3,4,100185,5,2,101,,,,,,
1,2,5,1,1,1,1,100754,5,7,28,,,,,,
1,2,13,1,1,2,2,100726,5,7,69,,,,,,
0,2,1,1,1,1,2,101056,5,17,22,,,,,,
0,2,13,1,1,2,3,100076,5,11,28,,,,,,
0,4,1,2,1,3,7,101569,5,15,69,,,,,,
0,2,14,2,1,2,3,101540,5,21,38,,,,,,
0,2,1,1,1,1,1,101224,5,10,26,,,,,,
0,2,1,1,1,1,2,100191,5,2,12,,,,,,
0,2,14,1,1,2,2,100188,5,2,20,,,,,,
0,2,1,2,1,2,3,102360,5,20,18,,,,,,
0,2,1,2,1,1,2,100620,5,7,67,,,,,,
0,2,13,1,1,2,3,100607,5,7,78,,,,,,
0,3,1,2,1,3,4,101150,5,11,42,,,,,,
0,3,5,1,1,3,4,100650,5,7,27,,,,,,
1,2,1,1,1,1,2,100633,5,7,50,,,,,,
0,2,1,2,1,2,3,100692,5,7,75,,,,,,
1,2,11,2,1,2,3,101059,5,11,5,,,,,,
0,2,1,1,1,2,3,101160,5,11,62,,,,,,
0,2,5,1,1,1,1,101321,5,12,30,,,,,,
0,4,1,2,1,3,7,101319,5,12,80,,,,,,
0,3,6,2,6,3,6,101604,5,38,66,,,,,,
0,2,14,1,1,3,3,101515,5,21,68,,,,,,
0,2,14,1,1,1,2,100191,5,2,15,,,,,,
0,2,1,1,1,1,2,100170,5,2,71,,,,,,
0,3,1,2,1,3,4,102292,5,2,74,,,,,,
1,2,4,1,1,1,2,100277,5,20,16,,,,,,
0,3,13,2,1,3,4,100076,5,11,128,,,,,,
0,3,14,2,2,3,4,101253,5,33,18,,,,,,
1,2,4,1,1,2,2,101494,5,18,66,,,,,,
0,2,1,1,1,1,2,100188,5,26,16,,,,,,
0,3,1,2,1,3,4,102436,5,15,17,,,,,,
0,2,1,1,1,1,2,100988,5,15,20,,,,,,
0,3,10,2,1,3,4,101645,5,21,22,,,,,,
0,2,14,1,1,1,2,101645,5,21,66,,,,,,
0,2,5,1,1,2,3,101693,5,21,69,,,,,,
0,2,1,1,1,2,3,101697,5,21,75,,,,,,
0,2,8,2,1,3,3,101688,5,21,78,,,,,,
0,2,11,1,1,1,2,102340,5,9,20,,,,,,
0,2,8,1,1,2,3,100692,5,7,61,,,,,,
1,2,3,1,1,1,2,100830,5,7,68,,,,,,
0,2,14,1,1,2,3,101098,5,42,46,,,,,,
0,3,1,2,1,3,4,101164,5,11,126,,,,,,
0,2,4,1,1,2,3,101059,5,11,10,,,,,,
0,2,11,1,1,2,3,101059,5,11,116,,,,,,
0,2,14,1,1,1,2,101495,5,26,22,,,,,,
0,2,11,1,1,3,3,100188,5,26,72,,,,,,
0,3,11,2,1,3,4,101569,5,15,40,,,,,,
0,2,11,1,1,2,3,101568,5,15,98,,,,,,
0,2,1,1,1,1,2,101688,5,21,40,,,,,,
0,2,11,1,1,2,3,100417,5,3,64,,,,,,
1,2,11,1,1,1,2,100754,5,7,17,,,,,,
1,2,1,1,1,2,3,100743,5,7,26,,,,,,
0,3,3,2,1,3,5,102439,5,26,117,,,,,,
0,2,1,1,1,2,3,101353,5,15,36,,,,,,
0,2,1,1,1,2,3,101591,5,15,63,,,,,,
1,2,1,1,1,1,2,101566,5,21,34,,,,,,
0,2,1,1,3,2,3,100017,5,1,72,,,,,,
0,3,1,2,1,3,4,102307,5,6,57,,,,,,
0,2,5,1,1,2,3,100191,5,2,82,,,,,,
0,2,1,1,1,2,2,100411,5,3,33,,,,,,
1,2,11,1,1,2,2,100515,5,30,105,,,,,,
1,2,1,1,1,1,1,100605,5,7,21,,,,,,
0,3,1,1,1,3,4,100607,5,7,77,,,,,,
1,2,3,1,1,2,2,100481,5,17,48,,,,,,
1,2,1,1,1,2,3,100076,5,11,79,,,,,,
0,2,11,1,1,1,2,102338,5,46,81,,,,,,
0,2,5,1,1,1,2,101435,5,14,57,,,,,,
0,2,1,1,1,2,3,101435,5,14,85,,,,,,
0,2,1,1,1,2,3,101586,5,15,50,,,,,,
1,2,1,2,1,2,3,101569,5,15,58,,,,,,
0,3,1,1,1,3,6,101590,5,15,106,,,,,,
0,2,1,1,1,2,3,101186,5,21,31,,,,,,
0,2,14,1,1,2,2,101688,5,21,33,,,,,,
0,2,15,1,1,1,2,101566,5,21,50,,,,,,
0,2,14,1,1,2,3,100191,5,2,24,,,,,,
0,3,11,2,1,3,4,100417,5,3,65,,,,,,
0,2,5,1,1,1,1,100745,5,7,35,,,,,,
1,2,5,1,1,1,1,100605,5,7,32,,,,,,
1,2,4,1,1,1,1,100599,5,7,27,,,,,,
0,2,13,1,1,1,2,101186,5,21,10,,,,,,
0,3,1,2,1,3,4,101725,5,21,124,,,,,,
1,2,1,1,1,1,1,100667,5,7,35,,,,,,
1,2,5,1,1,1,2,100692,5,7,59,,,,,,
0,3,1,2,1,3,4,101040,5,17,72,,,,,,
1,3,1,2,1,3,4,101076,5,27,12,,,,,,
0,2,3,1,1,2,3,100076,5,11,43,,,,,,
0,2,11,1,1,2,3,101435,5,14,24,,,,,,
0,2,1,2,1,1,2,102439,5,26,59,,,,,,
0,3,3,2,1,3,4,102458,5,15,27,,,,,,
0,2,1,2,1,2,3,101353,5,15,35,,,,,,
1,3,8,1,1,3,4,101586,5,15,72,,,,,,
0,2,11,1,1,2,3,100384,5,3,65,,,,,,
0,3,1,2,1,3,4,100422,5,3,91,,,,,,
0,3,1,1,2,3,4,102403,5,31,74,,,,,,
1,3,11,2,1,3,4,100743,5,7,11,,,,,,
1,2,13,1,1,1,2,100605,5,7,19,,,,,,
1,2,1,1,1,1,2,100679,5,7,23,,,,,,
1,2,5,1,1,1,1,100611,5,7,19,,,,,,
1,2,11,2,1,2,3,100620,5,7,34,,,,,,
1,2,1,1,1,2,3,100743,5,7,55,,,,,,
0,2,11,1,1,2,3,100635,5,7,77,,,,,,
1,2,13,1,1,2,3,101058,5,17,8,,,,,,
1,2,11,1,1,1,1,100468,5,11,37,,,,,,
0,2,1,1,1,2,3,100076,5,11,83,,,,,,
1,2,3,1,1,1,1,101412,5,14,26,,,,,,
0,2,14,1,1,2,3,101401,5,14,25,,,,,,
0,3,3,2,1,3,5,101569,5,15,74,,,,,,
0,2,1,2,1,1,2,101688,5,21,72,,,,,,
0,2,11,1,1,2,3,101645,5,21,77,,,,,,
1,2,11,1,1,2,3,100170,5,2,36,,,,,,
1,2,11,1,1,2,2,100417,5,3,40,,,,,,
0,2,11,1,1,2,2,100667,5,7,64,,,,,,
0,2,5,1,1,1,2,100633,5,7,73,,,,,,
0,3,11,2,1,3,5,102338,5,7,77,,,,,,
